Customer_ID,gender,Age,demographics,profession,Income,Loan_Amount,Loan_Term_Months,Rent_Payments,Utility_Payments_On_Time,Mobile_Phone_Payment_On_Time,social mediaplatform,Social_Media_Activity_Score,Transaction_Behavior_Score,Credit_Score
1,male,60,Urban,Software Engineer,126296,15357,36,964,TRUE,TRUE,Instagram,50,77,402
2,female,27,Urban,Student,101182,47136,60,2274,TRUE,TRUE,Facebook,84,24,735
3,male,47,Sub_Urban,Marketer Manager,102565,4137,48,1746,TRUE,FALSE,Instagram,16,54,570
4,non-binary,67,Urban,Student,49402,1097,60,1130,TRUE,TRUE,Instagram,76,26,406
5,male,35,Urban,Software Engineer,24263,12407,48,1324,TRUE,TRUE,Instagram,77,66,371
6,male,34,Urban,Marketer Manager,143489,31575,36,1787,TRUE,FALSE,Facebook,39,80,320
7,male,43,Urban,Student,116523,13722,12,1730,TRUE,TRUE,YouTube,89,38,421
8,male,25,Urban,Marketer Manager,66828,13924,36,1106,TRUE,FALSE,Instagram,46,65,766
9,non-binary,64,Sub_Urban,Marketer Manager,140824,4750,12,1384,TRUE,TRUE,YouTube,96,75,514
10,non-binary,57,Sub_Urban,Marketer Manager,67924,28733,12,2257,TRUE,TRUE,Instagram,88,51,630
11,female,66,Urban,Student,94182,9535,60,865,TRUE,TRUE,YouTube,47,35,758
12,non-binary,29,Sub_Urban,Marketer Manager,113065,25487,36,775,TRUE,TRUE,Facebook,44,43,387
13,non-binary,44,Rural,Student,79052,31651,48,879,TRUE,TRUE,Facebook,9,29,672
14,female,25,Urban,Software Engineer,31664,5666,36,2266,TRUE,TRUE,Instagram,87,37,399
15,non-binary,42,Rural,Student,55737,49777,60,1832,TRUE,TRUE,YouTube,50,81,430
16,male,63,Sub_Urban,Software Engineer,121332,17994,12,2154,TRUE,TRUE,Facebook,77,58,608
17,male,21,Sub_Urban,Student,109563,2727,60,1791,FALSE,TRUE,Instagram,60,54,643
18,female,50,Rural,Marketer Manager,49373,35622,24,1444,TRUE,TRUE,Instagram,96,39,791
19,female,18,Sub_Urban,Student,137369,11800,24,2308,FALSE,TRUE,Facebook,15,42,713
20,female,36,Urban,Marketer Manager,56397,38823,48,1587,FALSE,TRUE,Facebook,36,28,685
21,male,48,Rural,Software Engineer,148575,44039,60,1309,TRUE,FALSE,Instagram,63,29,491
22,non-binary,33,Urban,Student,106145,19708,48,1873,TRUE,TRUE,YouTube,69,43,576
23,male,31,Rural,Marketer Manager,121371,13819,48,1424,TRUE,FALSE,YouTube,86,3,460
24,female,65,Sub_Urban,Software Engineer,58709,10369,24,2438,TRUE,TRUE,YouTube,80,10,759
25,non-binary,22,Rural,Software Engineer,136074,10283,48,993,TRUE,TRUE,Instagram,41,59,613
26,non-binary,58,Rural,Student,81120,31573,24,2046,TRUE,TRUE,Facebook,74,14,321
27,male,43,Urban,Software Engineer,39250,14171,12,1621,TRUE,TRUE,Instagram,24,76,552
28,female,45,Sub_Urban,Marketer Manager,41172,31933,60,2469,TRUE,TRUE,Facebook,82,47,774
29,male,19,Urban,Software Engineer,31555,6774,48,1594,TRUE,TRUE,YouTube,49,42,358
30,non-binary,67,Sub_Urban,Software Engineer,107410,7519,24,863,TRUE,TRUE,YouTube,18,94,810
31,male,23,Urban,Marketer Manager,98617,11983,36,1069,TRUE,TRUE,Facebook,7,32,775
32,male,26,Rural,Software Engineer,73276,31932,48,2325,TRUE,TRUE,Facebook,4,32,489
33,female,50,Urban,Software Engineer,77492,31798,12,1262,TRUE,TRUE,Instagram,90,42,543
